RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          875     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.756D+04  1.217D+04
    1    3     1     0  ---    1  4.6D-06  3.2D-01  1.360D+04  1.035D+04
    2    4     0     0  con    0  1.0D+00  1.1D-01  1.083D+04  7.510D+03
    3    5     0     0  con    0  1.0D+00  4.2D-01  3.232D+03  1.948D+03
    4    6     0     0  con    0  1.0D+00  1.6D-01  1.914D+03  1.184D+03
    5    7     0     0  con    0  1.0D+00  2.2D-01  9.751D+02  6.564D+02
    6    8     0     0  con    0  1.0D+00  2.0D-01  5.713D+02  4.298D+02
    7    9     0     0  con    0  1.0D+00  1.4D-01  4.143D+02  3.450D+02
    8   10     0     0  con    0  1.0D+00  2.7D-01  1.834D+02  2.190D+02
    9   11     0     0  con    0  1.0D+00  1.8D-01  1.070D+02  1.782D+02
   10   12     0     0  con    0  1.0D+00  2.4D-01  4.532D+01  1.436D+02
   11   13     0     0  con    0  1.0D+00  2.0D-01  1.954D+01  1.304D+02
   12   14     0     0  con    0  1.0D+00  2.3D-01  1.066D+01  1.183D+02
   13   15     0     0  con    0  1.0D+00  4.2D-01  1.139D+01  9.897D+01
   14   16     0     0  con    0  1.0D+00  1.2D+00  3.323D+01  6.133D+01
   15   17     0     0  con    0  1.0D+00  8.3D-01  6.714D+00  3.543D+01
   16   18     0     0  con    0  1.0D+00  4.0D-01  6.370D+00  2.941D+01
   17   19     0     0  con    0  1.0D+00  8.4D-01  4.660D+00  2.262D+01
   18   20     0     0  con    0  1.0D+00  2.7D-01  3.068D+00  1.998D+01
   19   21     0     0  con    0  1.0D+00  1.3D-01  2.628D+00  1.918D+01
   20   23     0     0  con    1  4.4D-01  2.2D-01  2.234D+00  1.826D+01
   21   24     0     0  con    0  1.0D+00  2.8D-01  2.509D+00  1.761D+01
